Date,First doses,Second doses,70% adults,80% adults
02/09,12480413,7512554,"14,433,971","16,495,967"
03/09,12640002,7653638,"14,433,971","16,495,967"
04/09,12811797,7793356,"14,433,971","16,495,967"
05/09,12938761,7879487,"14,433,971","16,495,967"
06/09,13023788,7924726,"14,433,971","16,495,967"
07/09,13160225,8046566,"14,433,971","16,495,967"
08/09,13313703,8186949,"14,433,971","16,495,967"
09/09,13480795,8330598,"14,433,971","16,495,967"
10/09,13646933,8482722,"14,433,971","16,495,967"
11/09,13800869,8631565,"14,433,971","16,495,967"
12/09,13907333,8720390,"14,433,971","16,495,967"
13/09,13986743,8773858,"14,433,971","16,495,967"
14/09,14120010,8915972,"14,433,971","16,495,967"
15/09,14258694,9060432,"14,433,971","16,495,967"
16/09,14394374,9209276,"14,433,971","16,495,967"
17/09,14531341,9353173,"14,433,971","16,495,967"
18/09,14676548,9521483,"14,433,971","16,495,967"
19/09,14777650,9624053,"14,433,971","16,495,967"
20/09,14865312,9690933,"14,433,971","16,495,967"
21/09,15002990,9842760,"14,433,971","16,495,967"
22/09,15002990,9842760,"14,433,971","16,495,967"
